Data,Código do Produto,Produto,Unidade,Quantidade,Observação
06/02/2026,FRU-001,AMEIXA SEM CAROCO,g,10000,POLICO COMERCIAL
06/02/2026,ERV-001,AMORA BRANCA,g,10000,POLICO COMERCIAL
06/02/2026,GRA-001,AVEIA FLOCOS FINOS,g,25000,POLICO COMERCIAL
06/02/2026,GRA-002,AVEIA FLOCOS FINOS SEM GLUTEM,g,25000,POLICO COMERCIAL
06/02/2026,GRA-003,AVEIA FLOCOS GROSSOS,g,25000,POLICO COMERCIAL
06/02/2026,PO-001,BETERRABA PO,g,20000,POLICO COMERCIAL
06/02/2026,ERV-002,BOLDO,g,50000,POLICO COMERCIAL
06/02/2026,PO-002,CACAU ALCALINO,g,25000,POLICO COMERCIAL
06/02/2026,ERV-003,CARDO MARIANO,g,10000,POLICO COMERCIAL
06/02/2026,ERV-004,CARQUEJA AMARGA,g,10000,POLICO COMERCIAL
06/02/2026,PO-003,CATUABA PO,g,20000,POLICO COMERCIAL
06/02/2026,ERV-005,CHA SECA BARRIGA,g,20000,POLICO COMERCIAL
06/02/2026,PO-004,COLAGENO PO,g,20000,POLICO COMERCIAL
06/02/2026,TEM-001,CURRY,g,10000,POLICO COMERCIAL
06/02/2026,ERV-006,ENXUGACHA,g,5000,POLICO COMERCIAL
06/02/2026,GRA-004,FARELO DE AVEIA,g,25000,POLICO COMERCIAL
06/02/2026,SEM-001,FUNCHO SEMENTE,g,25000,POLICO COMERCIAL
06/02/2026,ERV-007,JAMBOLAO,g,10000,POLICO COMERCIAL
06/02/2026,GRA-005,MILHO TOR MOSTARDA E MEL,g,10000,POLICO COMERCIAL
06/02/2026,GRA-006,MILHO TOR BARBECUE,g,10000,POLICO COMERCIAL
06/02/2026,CAS-001,PAU TENENTE,g,20000,POLICO COMERCIAL
06/02/2026,ERV-008,PICAO PRETO,g,10000,POLICO COMERCIAL
06/02/2026,TEM-002,TEMP DO CHEF,g,10000,POLICO COMERCIAL
06/02/2026,TEM-003,TEMP EDU GUEDES,g,20000,POLICO COMERCIAL
06/02/2026,TEM-004,TEMP PARA CHURRASCO SEM PIM,g,10000,POLICO COMERCIAL
06/02/2026,TEM-005,TEMP PARA ARROZ E FRANGO,g,10000,POLICO COMERCIAL
