codigo,produto,unidade_medida,estoque_minimo,validade_dias
FRU-001,AMEIXA SEM CAROCO,g,1000,
ERV-001,AMORA BRANCA,g,1000,
GRA-001,AVEIA FLOCOS FINOS,g,1000,
GRA-002,AVEIA FLOCOS FINOS SEM GLUTEM,g,1000,
GRA-003,AVEIA FLOCOS GROSSOS,g,1000,
PO-001,BETERRABA PO,g,1000,
ERV-002,BOLDO,g,1000,
PO-002,CACAU ALCALINO,g,1000,
ERV-003,CARDO MARIANO,g,1000,
ERV-004,CARQUEJA AMARGA,g,1000,
PO-003,CATUABA PO,g,1000,
ERV-005,CHA SECA BARRIGA,g,1000,
PO-004,COLAGENO PO,g,1000,
TEM-001,CURRY,g,1000,
ERV-006,ENXUGACHA,g,1000,
GRA-004,FARELO DE AVEIA,g,1000,
SEM-001,FUNCHO SEMENTE,g,1000,
ERV-007,JAMBOLAO,g,1000,
GRA-005,MILHO TOR MOSTARDA E MEL,g,1000,
GRA-006,MILHO TOR BARBECUE,g,1000,
CAS-001,PAU TENENTE,g,1000,
ERV-008,PICAO PRETO,g,1000,
TEM-002,TEMP DO CHEF,g,1000,
TEM-003,TEMP EDU GUEDES,g,1000,
TEM-004,TEMP PARA CHURRASCO SEM PIM,g,1000,
TEM-005,TEMP PARA ARROZ E FRANGO,g,1000,
TEM-006,TEMP PEGA MARIDO,g,1000,
FRU-002,UVA PASSA PRETA MEDIA,g,1000,
TEM-007,ACAFRAO PO,g,1000,
TEM-008,CHIMICHURRI SEM PIMENTA,g,1000,
PO-005,FENO GREGO PO,g,1000,
PO-006,FARINHA DE UVA,g,1000,
GRA-007,SEMENTE DE ABOBORA,g,1000,
GRA-008,BISCOITO DE ARROZ CHURRASCO,g,1000,
GRA-009,GIRASSOL GRAUDO,g,1000,
SAB-001,SAB INT ERVA DOCE,un,10,
SAB-002,SAB INT ROSA MOSQUETA,un,10,
SAB-003,SAB INT BABALU TUTI FRUTTI,un,10,
SAB-004,SAB INT 30 ERVAS,un,10,
SAB-005,SAB INT BABALU UVA,un,10,
SAB-006,SAB INT SOUL MORANGUINHO,un,10,
SAB-007,SAB INT MACA VERDE,un,10,
