Data,Código,Produto,Quantidade,Funcionario,Validade
02/03/2026,GRA-013,AMENDOIM BANDADO,0,JOÃO,08/2026
02/03/2026,PO-008,FARINHA DE CASTANHA DE CAJU,0,JOÃO,01/2027
02/03/2026,GRA-014,AMENDOIM GRANULADO,0,JOÃO,13/04/2026
02/03/2026,GRA-004,FARELO DE AVEIA,4395,JOÃO,07/2026
02/03/2026,PO-009,CREATINA,0,JOÃO,02/2027
02/03/2026,TEM-009,LEMON PAPPER,0,ADILSON,01/2027
02/03/2026,PO-005,FENO GREGO PO,0,ADILSON,10/2026
02/03/2026,GRA-001,AVEIA FLOCOS FINOS,3018,JOÃO,07/2026
02/03/2026,GRA-022,LINHACA DOURADA,0,ADILSON,10/2027
02/03/2026,PO-010,LINHAÇA DOURADA FARINHA,0,ADILSON,10/2027
02/03/2026,GRA-002,AVEIA FLOCOS FINOS SEM GLUTEM,4320,ADILSON,01/2027
02/03/2026,TEM-010,PAPRICA DEFUMADA,0,JOÃO,01/2027
02/03/2026,PO-011,MACA PERUANA PRETA,0,ADILSON,09/2026
02/03/2026,PO-012,CANELA PO,2126,ADILSON,04/2027
02/03/2026,GRA-007,SEMENTE DE ABOBORA,6550,ADILSON,10/2026
02/03/2026,TEM-008,CHIMICHURRI SEM PIMENTA,0,ADILSON,03/2026
02/03/2026,PO-013,CHIMICHURRI COM BARBECUE,0,ADILSON,09/2026
02/03/2026,ERV-009,SALVIA,,ADILSON,08/2026
02/03/2026,PO-014,CARVAO VEGETAL,0,ADILSON,
02/03/2026,TEM-011,PAPRICA DOCE,3650,ADILSON,12/2026
03/03/2026,GRA-015,SEMENTE DE CHIA COMUM,0,ADILSON,
03/03/2026,GRA-004,FARELO DE AVEIA,1830,ADILSON,
03/03/2026,PO-015,GUARANÁ EM PÓ,0,ADILSON,
03/03/2026,GRA-003,AVEIA FLOCOS GROSSOS,2688,ADILSON,
03/03/2026,GRA-001,AVEIA FLOCOS FINOS,1830,ADILSON,
03/03/2026,GRA-016,CASTANHA DE CAJU NA BRASA,0,JOÃO,
03/03/2026,PO-006,FARINHA DE UVA,5142,ADILSON,
03/03/2026,PO-001,BETERRABA PO,3279,ADILSON,
03/03/2026,GRA-007,SEMENTE DE ABOBORA,1278,JOÃO,
03/03/2026,PO-003,CATUABA PO,2006,ADILSON,
03/03/2026,PO-016,MACA PERUANA COMUM,0,ADILSON,
03/03/2026,TEM-007,ACAFRAO PO,0,ADILSON,
03/03/2026,TEM-012,ALHO GRANULADO,0,ADILSON,
03/03/2026,PO-016,MACA PERUANA COMUM,0,JOÃO,
04/03/2026,GRA-017,MIX DE VEGETAIS,0,ADILSON,10/2026
04/03/2026,GRA-018,MIX DE FRUTAS TROPICAIS,0,ADILSON,08/2026
04/03/2026,GRA-008,BISCOITO DE ARROZ CHURRASCO,1562,ADILSON,10/2026
04/03/2026,GRA-014,AMENDOIM GRANULADO,,ADILSON,06/2026
04/03/2026,GRA-002,AVEIA FLOCOS FINOS SEM GLUTEM,2502,JOÃO,12/2026
04/03/2026,PO-007,LEITE DE COCO EM PO,4990,ADILSON,10/2026
04/03/2026,GRA-015,SEMENTE DE CHIA COMUM,0,JOÃO,07/2027
04/03/2026,PO-010,LINHAÇA DOURADA FARINHA,0,JOÃO,05/2026
04/03/2026,GRA-019,CASTANHA DE CAJU NO FORNO,0,,
04/03/2026,TEM-014,CALDO DE GALINHA,0,ADILSON,07/2027
04/03/2026,TEM-013,AMACIANTE DE CARNE,3218,ADILSON,10/2027
05/03/2026,OUT-001,VINAGRE DE MAÇÃ,24,ANDERSON,
06/03/2026,PO-025,GENGIBRE EM PO,1886,JOÃO,09/2028
06/03/2026,PO-025,GENGIBRE EM PO,2320,ADILSON,09/2028
06/03/2026,GRA-022,LINHACA DOURADA,5321,JOÃO,01/2027
06/03/2026,GRA-019,CASTANHA DE CAJU NO FORNO,6449,ADILSON,01/2027
06/03/2026,PO-001,BETERRABA PO,4579,JOÃO,09/2027
06/03/2026,TEM-008,CHIMICHURRI SEM PIMENTA,1580,JOÃO,10/2026
06/03/2026,TEM-024,"CEBOLA, SALSA E ALHO",754,JOÃO,10/2026
06/03/2026,TEM-009,LEMON PAPPER,3176,JOÃO,01/2027
06/03/2026,TEM-024,"CEBOLA, SALSA E ALHO",1566,ADILSON,10/2026
06/03/2026,TEM-029,TEMP DO CHEFF COM PAPRICA,,JOÃO,01/2027
06/03/2026,GRA-029,FENO GREGO,,ADILSON,10/2027
06/03/2026,PO-027,PSYLLIUM,6373,ADILSON,08/2027
06/03/2026,TEM-025,CHIMICHURRI S. PIMENTA DEFUMADO,1882,ADILSON,10/2027
06/03/2026,TEM-003,TEMP EDU GUEDES,1232,JOÃO,10/2026
06/03/2026,GRA-001,AVEIA FLOCOS FINOS,3018,ADILSON,10/2027
06/03/2026,TEM-030,TEMP ANA MARIA,0,JOÃO,10/2026
06/03/2026,GRA-018,MIX DE FRUTAS TROPICAIS,,ADILSON,11/2026
06/03/2026,GRA-023,NOZES MARIPOSA,4094,ADILSON,06/2027
06/03/2026,TEM-011,PAPRICA DOCE,2225,JOÃO,11/2026
06/03/2026,GRA-025,ARGOLINHAS COL CEREAL,2000,ADILSON,11/2026
06/03/2026,GRA-017,MIX DE VEGETAIS,1710,ADILSON,10/2026
06/03/2026,GRA-027,GERGELIM BRANCO S. PELE,2578,JOÃO,10/2026
06/03/2026,GRA-010,GERGELIM PRETO,3114,JOÃO,03/2027
06/03/2026,GRA-007,SEMENTE DE ABOBORA,2980,JOÃO,10/2027
06/03/2026,GRA-015,SEMENTE DE CHIA COMUM,,JOÃO,01/2027
06/03/2026,TEM-007,ACAFRAO PO,4198,JOÃO,11/2027
06/03/2026,TEM-010,PAPRICA DEFUMADA,,,
06/03/2026,GRA-015,SEMENTE DE CHIA COMUM,,JOÃO,01/2027
06/03/2026,GRA-013,AMENDOIM BANDADO,,JOÃO,03/2027
07/03/2026,GRA-025,ARGOLINHAS COL CEREAL,2024,JOÃO,12/2026
07/03/2026,GRA-023,NOZES MARIPOSA,4030,JOÃO,06/2027
07/03/2026,TEM-006,TEMP PEGA MARIDO,3500,ADILSON,10/2027
07/03/2026,TEM-009,LEMON PAPPER,2462,ADILSON,01/2027
07/03/2026,TEM-008,CHIMICHURRI SEM PIMENTA,1564,ADILSON,10/2026
09/03/2026,GRA-022,LINHACA DOURADA,5392,ADILSON,01/2027
09/03/2026,GRA-010,GERGELIM PRETO,1410,ADILSON,03/2027
09/03/2026,PO-015,GUARANÁ EM PÓ,,JOÃO,01/2027
09/03/2026,PO-011,MACA PERUANA PRETA,,JOÃO,08/2026
09/03/2026,PO-034,ACUCAR MASCAVO,3504,ADILSON,07/2026
09/03/2026,GRA-031,PROTEINA DE SOJA,,ADILSON,10/2026
09/03/2026,PO-012,CANELA PO,1666,JOAO,04/2026
09/03/2026,TEM-010,PAPRICA DEFUMADA,6054,ADILSON,02/2027
09/03/2026,GRA-029,FENO GREGO,,JOAO,10/2027
09/03/2026,ERV-023,TOMILHO,,JOAO,02/2027
09/03/2026,GRA-015,SEMENTE DE CHIA COMUM,,JOAO,07/2027
09/03/2026,GRA-018,MIX DE FRUTAS TROPICAIS,,ADILSON,10/2026
09/03/2026,GRA-017,MIX DE VEGETAIS,1766,ADILSON,10/2026
09/03/2026,GRA-008,BISCOITO DE ARROZ CHURRASCO,1406,JOÃO,10/2026
09/03/2026,GRA-018,MIX DE FRUTAS TROPICAIS,,JOÃO,09/2026
09/03/2026,GRA-017,MIX DE VEGETAIS,1434,JOÃO,10/2026
09/03/2026,ERV-002,BOLDO,5000,JOÃO,
10/03/2026,GRA-016,CASTANHA DE CAJU NA BRASA,5142,JOÃO,01/2027
10/03/2026,GRA-015,SEMENTE DE CHIA COMUM,0,ADILSON,01/2027
10/03/2026,GRA-002,AVEIA FLOCOS FINOS SEM GLUTEM,3170,ADILSON,01/2027
10/03/2026,TEM-025,CHIMICHURRI S. PIMENTA DEFUMADO,1580,JOÃO,10/2027
10/03/2026,GRA-004,FARELO DE AVEIA,3436,ADILSON,10/2027
10/03/2026,ERV-018,ALECRIM,4748,JOÃO,12/2027
10/03/2026,ERV-024,FLOR DE CAMOMILA,,JOÃO,06/2026
10/03/2026,ERV-010,ALCACHOFRA,2650,JOÃO,08/2027
10/03/2026,GRA-032,FARINHA DE AMENDOIM,,ADILSON,10/2026
10/03/2026,GRA-033,CRAVINHO,,JOÃO,01/2027
10/03/2026,TEM-009,LEMON PAPPER,2874,JOÃO,02/2027
10/03/2026,TEM-009,LEMON PAPPER,4150,ADILSON,02/2027
10/03/2026,GRA-034,GRANOLA C. FRUTAS VERMELHAS,,ADILSON,10/2026
10/03/2026,TEM-008,CHIMICHURRI SEM PIMENTA,1896,JOÃO,01/2027
11/03/2026,PO-022,BICABORNATO DE SODIO,50000,ADILSON,04/2028
11/03/2026,PO-022,BICABORNATO DE SODIO,25000,JOÃO,04/2028
11/03/2026,PO-006,FARINHA DE UVA,4710,JOÃO,
11/03/2026,GRA-002,AVEIA FLOCOS FINOS SEM GLUTEM,4678,JOÃO,01/2027
11/03/2026,GRA-015,SEMENTE DE CHIA COMUM,0,JOÃO,01/2027
11/03/2026,GRA-001,AVEIA FLOCOS FINOS,4650,JOÃO,10/2027
11/03/2026,GRA-004,FARELO DE AVEIA,6205,JOÃO,07/2026
11/03/2026,GRA-003,AVEIA FLOCOS GROSSOS,6000,JOÃO,12/2026
11/03/2026,GRA-022,LINHACA DOURADA,8000,JOÃO,10/2027
11/03/2026,PO-002,CACAU ALCALINO,4460,JOÃO,02/2027
10/03/2026,SAB-060,SAB 7 ERVAS BARRA,,SÁVIO,
10/03/2026,SAB-038,SAB ACAFRAO BARRA,24,SÁVIO,
10/03/2026,SAB-052,SAB ACAI BARRA,24,SÁVIO,
10/03/2026,SAB-044,SAB ALECRIM BARRA,24,SÁVIO,
10/03/2026,SAB-026,SAB ANDIROBA BARRA,24,SÁVIO,
10/03/2026,SAB-015,SAB ANTICASPA BARRA,24,SÁVIO,
10/03/2026,SAB-061,SAB ARG AMARELA BARRA,,SÁVIO,
